old	new
DDX11L1	DDX11L1
WASH7P	WASH7P
MIR6859-1	MIR6859-1
MIR1302-2	MIR1302-2
FAM138A	FAM138A
OR4G4P	OR4G4P
OR4G11P	OR4G11P
OR4F5	OR4F5
RP11-34P13.7	RP11-34P13.7
RP11-34P13.8	RP11-34P13.8
CICP27	CICP27
RP11-34P13.15	RP11-34P13.15
RP11-34P13.16	RP11-34P13.16
RP11-34P13.14	RP11-34P13.14
RP11-34P13.13	RP11-34P13.13
RNU6-1100P	RNU6-1100P
RP11-34P13.9	RP11-34P13.9
FO538757.2	FO538757.2
FO538757.1	FO538757.1
MIR6859-2	MIR6859-2
AP006222.2	AP006222.2
RPL23AP21	RPL23AP21
RPL23AP24	RPL23AP24
RP5-857K21.15	RP5-857K21.15
RP4-669L17.2	RP4-669L17.2
RP4-669L17.10	RP4-669L17.10
WBP1LP7	WBP1LP7
OR4F29	OR4F29
SEPT14P13	SEPT14P13
CICP7	CICP7
RP4-669L17.8	RP4-669L17.8
U6	RNU6-50P
RP5-857K21.4	RP5-857K21.4
RP5-857K21.2	RP5-857K21.2
MTND1P23	MTND1P23
MTND2P28	MTND2P28
MTCO1P12	MTCO1P12
MIR6723	MIR6723
MTCO2P12	MTCO2P12
MTATP8P1	MTATP8P1
MTATP6P1	MTATP6P1
MTCO3P12	MTCO3P12
WBP1LP6	WBP1LP6
OR4F16	OR4F16
RP11-206L10.17	RP11-206L10.17
CICP3	CICP3
RP11-206L10.2	RP11-206L10.2
RNU6-1199P	RNU6-1199P
RP11-206L10.4	RP11-206L10.4
RP11-206L10.9	RP11-206L10.9
RP11-206L10.8	RP11-206L10.8
FAM87B	FAM87B
LINC01128	LINC01128
LINC00115	LINC00115
FAM41C	FAM41C
TUBB8P11	TUBB8P11
FAM166AP3	FAM166AP3
RP11-54O7.16	RP11-54O7.16
RP11-54O7.1	RP11-54O7.1
RP11-54O7.2	RP11-54O7.2
RP11-54O7.3	RP11-54O7.3
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
RP11-54O7.17	RP11-54O7.17
HES4	HES4
ISG15	ISG15
RP11-54O7.10	RP11-54O7.10
RP11-54O7.11	RP11-54O7.11
AGRN	AGRN
RP11-54O7.14	RP11-54O7.14
RP11-465B22.3	RP11-465B22.3
RP11-54O7.18	RP11-54O7.18
RNF223	RNF223
C1orf159	C1orf159
LINC01342	LINC01342
MIR200B	MIR200B
MIR200A	MIR200A
MIR429	MIR429
RP11-465B22.8	RP11-465B22.8
TTLL10-AS1	TTLL10-AS1
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	C1QTNF12
RP5-902P8.12	RP5-902P8.12
UBE2J2	UBE2J2
RP5-902P8.10	RP5-902P8.10
SCNN1D	SCNN1D
ACAP3	ACAP3
MIR6726	MIR6726
PUSL1	PUSL1
CPSF3L	INTS11
RP5-890O3.9	RP5-890O3.9
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
NDUFB4P8	NDUFB4P8
CCNL2	CCNL2
RP4-758J18.2	RP4-758J18.2
MRPL20	MRPL20
RN7SL657P	RN7SL657P
RP4-758J18.13	RP4-758J18.13
ANKRD65	ANKRD65
RP4-758J18.7	RP4-758J18.7
TMEM88B	TMEM88B
RP4-758J18.10	RP4-758J18.10
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
RP5-832C2.5	RP5-832C2.5
AL645728.1	AL645728.1
RP11-345P4.11	RP11-345P4.11
FNDC10	FNDC10
RP11-345P4.9	RP11-345P4.9
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
RP11-345P4.10	RP11-345P4.10
SLC35E2B	SLC35E2B
RP11-345P4.6	RP11-345P4.6
MMP23A	MMP23A
CDK11A	CDK11A
RP1-283E3.8	RP1-283E3.8
RP1-283E3.4	RP1-283E3.4
SLC35E2	SLC35E2A
NADK	NADK
GNB1	GNB1
RP1-140A9.1	RP1-140A9.1
CALML6	CALML6
TMEM52	TMEM52
CFAP74	CFAP74
RP11-547D24.1	RP11-547D24.1
GABRD	GABRD
RP11-547D24.3	RP11-547D24.3
